UID,Authors,PubDate(Year),PubDate(Month),Title,Summary
18967855,"Meinrath G, Ekberg C, Landgren A, Liljenzin JO",2000,Feb,Assessment of uncertainty in parameter evaluation and prediction.,"Meinrath G, Ekberg C, Landgren A, Liljenzin JO.Assessment of uncertainty in parameter evaluation and prediction. Talanta. 2000 Feb 7; 51(2):231-46. "
18969003,"Martínez Galera M, Picón Zamora D, Martínez Vidal JL, Garrido Frenich A, Espinosa-Mansilla A, Muñoz de la Peña A, Salinas López F",2003,May,"Determination of carbendazim, thiabendazole and fuberidazole using a net analyte signal-based method.","Martínez Galera M, Picón Zamora D, Martínez Vidal JL, Garrido Frenich A, Espinosa-Mansilla A, Muñoz de la Peña A, Salinas López F.Determination of carbendazim, thiabendazole and fuberidazole using a net analyte signal-based method. Talanta. 2003 May 1; 59(6):1107-16. "
18969101,"Garrido Frenich A, Arrebola Liébanas FJ, Mateu-Sánchez M, Martı́nez Vidal JL",2003,Jul,Multicomponent determination of pesticides in vegetables by gas chromatography with mass spectrometric detection and multivariate calibration.,"Garrido Frenich A, Arrebola Liébanas FJ, Mateu-Sánchez M, Martı́nez Vidal JL.Multicomponent determination of pesticides in vegetables by gas chromatography with mass spectrometric detection and multivariate calibration. Talanta. 2003 Jul 4; 60(4):765-74. "
19031863,"Bouchard D, Höhener P, Hunkeler D",2008,Nov,Carbon isotope fractionation during volatilization of petroleum hydrocarbons and diffusion across a porous medium: a column experiment.,"Bouchard D, Höhener P, Hunkeler D.Carbon isotope fractionation during volatilization of petroleum hydrocarbons and diffusion across a porous medium: a column experiment. Environ Sci Technol. 2008 Nov 1; 42(21):7801-6. "
19040433,"Bailey RT, Jenson JW, Olsen AE",2009,Mar-Apr,Numerical modeling of atoll island hydrogeology.,"Bailey RT, Jenson JW, Olsen AE.Numerical modeling of atoll island hydrogeology. Ground Water. 2009 Mar-Apr; 47(2):184-96. "
19084323,"Sánchez D, Carrasco F, Andreo B",2009,Mar,"Proposed methodology to delineate bodies of groundwater according to the European water framework directive. Application in a pilot Mediterranean river basin (Málaga, Spain).","Sánchez D, Carrasco F, Andreo B.Proposed methodology to delineate bodies of groundwater according to the European water framework directive. Application in a pilot Mediterranean river basin (Málaga, Spain). J Environ Manage. 2009 Mar; 90(3):1523-33. "
19084673,"Martínez Bueno MJ, Hernando MD, Agüera A, Fernández-Alba AR",2009,Feb,Application of passive sampling devices for screening of micro-pollutants in marine aquaculture using LC-MS/MS.,"Martínez Bueno MJ, Hernando MD, Agüera A, Fernández-Alba AR.Application of passive sampling devices for screening of micro-pollutants in marine aquaculture using LC-MS/MS. Talanta. 2009 Feb 15; 77(4):1518-27. "
19117389,"Mezcua M, Malato O, García-Reyes JF, Molina-Díaz A, Fernández-Alba AR",2009,Feb,Accurate-mass databases for comprehensive screening of pesticide residues in food by fast liquid chromatography time-of-flight mass spectrometry.,"Mezcua M, Malato O, García-Reyes JF, Molina-Díaz A, Fernández-Alba AR.Accurate-mass databases for comprehensive screening of pesticide residues in food by fast liquid chromatography time-of-flight mass spectrometry. Anal Chem. 2009 Feb 1; 81(3):913-29. "
19125913,Elsenheimer D,1999,Sep-Oct,The commoditization of hydrogeology.,Elsenheimer D.The commoditization of hydrogeology. Ground Water. 1999 Sep-Oct; 37(5):641-2. 
19151493,"Kübeck Ch, van Berk W, Bergmann A",2009,,Modelling raw water quality: development of a drinking water management tool.,"Kübeck Ch, van Berk W, Bergmann A.Modelling raw water quality: development of a drinking water management tool. Water Sci Technol. 2009; 59(1):117-24. "
19191123,"Abe Y, Zopfi J, Hunkeler D",2009,Mar,Effect of molecule size on carbon isotope fractionation during biodegradation of chlorinated alkanes by Xanthobacter autotrophicus GJ10.,"Abe Y, Zopfi J, Hunkeler D.Effect of molecule size on carbon isotope fractionation during biodegradation of chlorinated alkanes by Xanthobacter autotrophicus GJ10. Isotopes Environ Health Stud. 2009 Mar; 45(1):18-26. "
19209591,"Abe Y, Aravena R, Zopfi J, Shouakar-Stash O, Cox E, Roberts JD, Hunkeler D",2009,Jan,"Carbon and chlorine isotope fractionation during aerobic oxidation and reductive dechlorination of vinyl chloride and cis-1,2-dichloroethene.","Abe Y, Aravena R, Zopfi J, Shouakar-Stash O, Cox E, Roberts JD, Hunkeler D.Carbon and chlorine isotope fractionation during aerobic oxidation and reductive dechlorination of vinyl chloride and cis-1,2-dichloroethene. Environ Sci Technol. 2009 Jan 1; 43(1):101-7. "
19260993,"Worthington SR, Gunn J",2009,May-Jun,Hydrogeology of carbonate aquifers: a short history.,"Worthington SR, Gunn J.Hydrogeology of carbonate aquifers: a short history. Ground Water. 2009 May-Jun; 47(3):462-7. "
19299054,"Balcke GU, Paschke H, Vogt C, Schirmer M",2009,Jul,Pulsed gas injection: a minimum effort approach for enhanced natural attenuation of chlorobenzene in contaminated groundwater.,"Balcke GU, Paschke H, Vogt C, Schirmer M.Pulsed gas injection: a minimum effort approach for enhanced natural attenuation of chlorobenzene in contaminated groundwater. Environ Pollut. 2009 Jul; 157(7):2011-8. "
19386379,"Gutierrez-Neri M, Ham PA, Schotting RJ, Lerner DN",2009,Jun,Analytical modelling of fringe and core biodegradation in groundwater plumes.,"Gutierrez-Neri M, Ham PA, Schotting RJ, Lerner DN.Analytical modelling of fringe and core biodegradation in groundwater plumes. J Contam Hydrol. 2009 Jun 26; 107(1-2):1-9. "
19427726,"Moradi AB, Conesa HM, Robinson BH, Lehmann E, Kaestner A, Schulin R",2009,Aug-Sep,Root responses to soil Ni heterogeneity in a hyperaccumulator and a non-accumulator species.,"Moradi AB, Conesa HM, Robinson BH, Lehmann E, Kaestner A, Schulin R.Root responses to soil Ni heterogeneity in a hyperaccumulator and a non-accumulator species. Environ Pollut. 2009 Aug-Sep; 157(8-9):2189-96. "
19442407,"Abe Y, Aravena R, Zopfi J, Parker B, Hunkeler D",2009,Jun,"Evaluating the fate of chlorinated ethenes in streambed sediments by combining stable isotope, geochemical and microbial methods.","Abe Y, Aravena R, Zopfi J, Parker B, Hunkeler D.Evaluating the fate of chlorinated ethenes in streambed sediments by combining stable isotope, geochemical and microbial methods. J Contam Hydrol. 2009 Jun 26; 107(1-2):10-21. "
19462487,"Pronk M, Goldscheider N, Zopfi J, Zwahlen F",2009,May-Jun,Percolation and particle transport in the unsaturated zone of a karst aquifer.,"Pronk M, Goldscheider N, Zopfi J, Zwahlen F.Percolation and particle transport in the unsaturated zone of a karst aquifer. Ground Water. 2009 May-Jun; 47(3):361-9. "
19475937,"Blessing M, Schmidt TC, Dinkel R, Haderlein SB",2009,Apr,Delineation of multiple chlorinated ethene sources in an industrialized area--a forensic field study using compound-specific isotope analysis.,"Blessing M, Schmidt TC, Dinkel R, Haderlein SB.Delineation of multiple chlorinated ethene sources in an industrialized area--a forensic field study using compound-specific isotope analysis. Environ Sci Technol. 2009 Apr 15; 43(8):2701-7. "
19525045,"Musolff A, Leschik S, Möder M, Strauch G, Reinstorf F, Schirmer M",2009,Nov,Temporal and spatial patterns of micropollutants in urban receiving waters.,"Musolff A, Leschik S, Möder M, Strauch G, Reinstorf F, Schirmer M.Temporal and spatial patterns of micropollutants in urban receiving waters. Environ Pollut. 2009 Nov; 157(11):3069-77. "
19576589,"Bueno MJ, Agüera A, Hernando MD, Gómez MJ, Fernández-Alba AR",2009,Aug,Evaluation of various liquid chromatography-quadrupole-linear ion trap-mass spectrometry operation modes applied to the analysis of organic pollutants in wastewaters.,"Bueno MJ, Agüera A, Hernando MD, Gómez MJ, Fernández-Alba AR.Evaluation of various liquid chromatography-quadrupole-linear ion trap-mass spectrometry operation modes applied to the analysis of organic pollutants in wastewaters. J Chromatogr A. 2009 Aug 7; 1216(32):5995-6002. "
19662837,"Liu J, Chen ZY",2009,Jun,[Using stable isotope to trace the sources of nitrate in groundwater in Shijiazhuang].,"Liu J, Chen ZY.[Using stable isotope to trace the sources of nitrate in groundwater in Shijiazhuang]. Huan Jing Ke Xue. 2009 Jun 15; 30(6):1602-7. "
19712386,"Flynn RM, Rossi P, Hunkeler D",2004,Jul,Investigation of virus attenuation mechanisms in a fluvioglacial sand using column experiments.,"Flynn RM, Rossi P, Hunkeler D.Investigation of virus attenuation mechanisms in a fluvioglacial sand using column experiments. FEMS Microbiol Ecol. 2004 Jul 1; 49(1):83-95. "
19712388,"Balcke GU, Turunen LP, Geyer R, Wenderoth DF, Schlosser D",2004,Jul,Chlorobenzene biodegradation under consecutive aerobic-anaerobic conditions.,"Balcke GU, Turunen LP, Geyer R, Wenderoth DF, Schlosser D.Chlorobenzene biodegradation under consecutive aerobic-anaerobic conditions. FEMS Microbiol Ecol. 2004 Jul 1; 49(1):109-20. "
19763684,"Zhang K, Kluck C, Achari G",2009,Nov,A comparative approach for ranking contaminated sites based on the risk assessment paradigm using fuzzy PROMETHEE.,"Zhang K, Kluck C, Achari G.A comparative approach for ranking contaminated sites based on the risk assessment paradigm using fuzzy PROMETHEE. Environ Manage. 2009 Nov; 44(5):952-67. "
19764245,"Hunkeler D, Van Breukelen BM, Elsner M",2009,Sep,Modeling chlorine isotope trends during sequential transformation of chlorinated ethenes.,"Hunkeler D, Van Breukelen BM, Elsner M.Modeling chlorine isotope trends during sequential transformation of chlorinated ethenes. Environ Sci Technol. 2009 Sep 1; 43(17):6750-6. "
19836225,"Celik B, Girgin S, Yazici A, Unlü K",2010,Jan,A decision support system for assessing landfill performance.,"Celik B, Girgin S, Yazici A, Unlü K.A decision support system for assessing landfill performance. Waste Manag. 2010 Jan; 30(1):72-81. "
19840124,"Pehme PE, Parker BL, Cherry JA, Greenhouse JP",2010,Mar-Apr,Improved resolution of ambient flow through fractured rock with temperature logs.,"Pehme PE, Parker BL, Cherry JA, Greenhouse JP.Improved resolution of ambient flow through fractured rock with temperature logs. Ground Water. 2010 Mar-Apr; 48(2):191-205. "
19840125,"Root TL, Gotkowitz MB, Bahr JM, Attig JW",2010,Nov-Dec,Arsenic geochemistry and hydrostratigraphy in midwestern U.S. glacial deposits.,"Root TL, Gotkowitz MB, Bahr JM, Attig JW.Arsenic geochemistry and hydrostratigraphy in midwestern U.S. glacial deposits. Ground Water. 2010 Nov-Dec; 48(6):903-12. "
19853432,"Trpkosová D, Mls J",2010,Jan,The influence of artificial sealing on the capillary barrier's function.,"Trpkosová D, Mls J.The influence of artificial sealing on the capillary barrier's function. Waste Manag. 2010 Jan; 30(1):125-31. "
19889445,"Nyenje PM, Foppen JW, Uhlenbrook S, Kulabako R, Muwanga A",2010,Jan,Eutrophication and nutrient release in urban areas of sub-Saharan Africa--a review.,"Nyenje PM, Foppen JW, Uhlenbrook S, Kulabako R, Muwanga A.Eutrophication and nutrient release in urban areas of sub-Saharan Africa--a review. Sci Total Environ. 2010 Jan 1; 408(3):447-55. "
19892430,"Leschik S, Musolff A, Martienssen M, Krieg R, Bayer-Raich M, Reinstorf F, Strauch G, Schirmer M",2009,Nov,Investigation of sewer exfiltration using integral pumping tests and wastewater indicators.,"Leschik S, Musolff A, Martienssen M, Krieg R, Bayer-Raich M, Reinstorf F, Strauch G, Schirmer M.Investigation of sewer exfiltration using integral pumping tests and wastewater indicators. J Contam Hydrol. 2009 Nov 20; 110(3-4):118-29. "
20163885,"Werth CJ, Zhang C, Brusseau ML, Oostrom M, Baumann T",2010,Apr,A review of non-invasive imaging methods and applications in contaminant hydrogeology research.,"Werth CJ, Zhang C, Brusseau ML, Oostrom M, Baumann T.A review of non-invasive imaging methods and applications in contaminant hydrogeology research. J Contam Hydrol. 2010 Apr 1; 113(1-4):1-24. "
20225064,"Ferrer Amate C, Unterluggauer H, Fischer RJ, Fernández-Alba AR, Masselter S",2010,May,"Development and validation of a LC-MS/MS method for the simultaneous determination of aflatoxins, dyes and pesticides in spices.","Ferrer Amate C, Unterluggauer H, Fischer RJ, Fernández-Alba AR, Masselter S.Development and validation of a LC-MS/MS method for the simultaneous determination of aflatoxins, dyes and pesticides in spices. Anal Bioanal Chem. 2010 May; 397(1):93-107. "
20381689,"Martínez Bueno MJ, Herrera S, Uclés A, Agüera A, Hernando MD, Shimelis O, Rudolfsson M, Fernández-Alba AR",2010,Apr,Determination of malachite green residues in fish using molecularly imprinted solid-phase extraction followed by liquid chromatography-linear ion trap mass spectrometry.,"Martínez Bueno MJ, Herrera S, Uclés A, Agüera A, Hernando MD, Shimelis O, Rudolfsson M, Fernández-Alba AR.Determination of malachite green residues in fish using molecularly imprinted solid-phase extraction followed by liquid chromatography-linear ion trap mass spectrometry. Anal Chim Acta. 2010 Apr 14; 665(1):47-54. "
20509608,"Musolff A, Leschik S, Reinstorf F, Strauch G, Schirmer M",2010,Jul,Micropollutant loads in the urban water cycle.,"Musolff A, Leschik S, Reinstorf F, Strauch G, Schirmer M.Micropollutant loads in the urban water cycle. Environ Sci Technol. 2010 Jul 1; 44(13):4877-83. "
20550588,"Stotler RL, Frape SK, Freifeld BM, Holden B, Onstott TC, Ruskeeniemi T, Chan E",2011,May-Jun,"Hydrogeology, chemical and microbial activity measurement through deep permafrost.","Stotler RL, Frape SK, Freifeld BM, Holden B, Onstott TC, Ruskeeniemi T, Chan E.Hydrogeology, chemical and microbial activity measurement through deep permafrost. Ground Water. 2011 May-Jun; 49(3):348-64. "
20561664,"Banning A, Rüde TR",2010,Nov,Enrichment processes of arsenic in oxidic sedimentary rocks - from geochemical and genetic characterization to potential mobility.,"Banning A, Rüde TR.Enrichment processes of arsenic in oxidic sedimentary rocks - from geochemical and genetic characterization to potential mobility. Water Res. 2010 Nov; 44(19):5512-31. "
20594819,"Sener S, Sener E, Nas B, Karagüzel R",2010,Nov,"Combining AHP with GIS for landfill site selection: a case study in the Lake Beyşehir catchment area (Konya, Turkey).","Sener S, Sener E, Nas B, Karagüzel R.Combining AHP with GIS for landfill site selection: a case study in the Lake Beyşehir catchment area (Konya, Turkey). Waste Manag. 2010 Nov; 30(11):2037-46. "
20621388,"Einsiedl F, Radke M, Maloszewski P",2010,Sep,Occurrence and transport of pharmaceuticals in a karst groundwater system affected by domestic wastewater treatment plants.,"Einsiedl F, Radke M, Maloszewski P.Occurrence and transport of pharmaceuticals in a karst groundwater system affected by domestic wastewater treatment plants. J Contam Hydrol. 2010 Sep 20; 117(1-4):26-36. "
20673597,"Hunkeler D, Höhener P, Atteia O",2010,Sep,Comments on 'Analytical modelling of fringe and core biodegradation in groundwater plumes.' by Gutierrez-Neri et al. in J. Contam. Hydrol. 107: 1-9.,"Hunkeler D, Höhener P, Atteia O.Comments on Analytical modelling of fringe and core biodegradation in groundwater plumes.' by Gutierrez-Neri et al. in J. Contam. Hydrol. 107: 1-9. J Contam Hydrol. 2010 Sep 20; 117(1-4):1-6. "
20678141,"Goeppert N, Goldscheider N",2011,Jan-Feb,Transport and variability of fecal bacteria in carbonate conglomerate aquifers.,"Goeppert N, Goldscheider N.Transport and variability of fecal bacteria in carbonate conglomerate aquifers. Ground Water. 2011 Jan-Feb; 49(1):77-84. "
20706016,"Musolff A, Leschik S, Schafmeister MT, Reinstorf F, Strauch G, Krieg R, Schirmer M",2010,,Evaluation of xenobiotic impact on urban receiving waters by means of statistical methods.,"Musolff A, Leschik S, Schafmeister MT, Reinstorf F, Strauch G, Krieg R, Schirmer M.Evaluation of xenobiotic impact on urban receiving waters by means of statistical methods. Water Sci Technol. 2010; 62(3):684-92. "
20725716,"Ferrer C, Mezcua M, Martínez-Uroz MA, Pareja L, Lozano A, Fernández-Alba AR",2010,Nov,"Method development and validation for determination of thiosultap sodium, thiocyclam, and nereistoxin in pepper matrix.","Ferrer C, Mezcua M, Martínez-Uroz MA, Pareja L, Lozano A, Fernández-Alba AR.Method development and validation for determination of thiosultap sodium, thiocyclam, and nereistoxin in pepper matrix. Anal Bioanal Chem. 2010 Nov; 398(5):2299-306. "
20812118,"Kluge T, Wieser M, Aeschbach-Hertig W",2010,Sep,Assessing the use of 3H-3He dating to determine the subsurface transit time of cave drip waters.,"Kluge T, Wieser M, Aeschbach-Hertig W.Assessing the use of 3H-3He dating to determine the subsurface transit time of cave drip waters. Isotopes Environ Health Stud. 2010 Sep; 46(3):299-311. "
20828703,"Plaza-Bolaños P, Frenich AG, Vidal JL",2010,Oct,Polycyclic aromatic hydrocarbons in food and beverages. Analytical methods and trends.,"Plaza-Bolaños P, Frenich AG, Vidal JL.Polycyclic aromatic hydrocarbons in food and beverages. Analytical methods and trends. J Chromatogr A. 2010 Oct 8; 1217(41):6303-26. "
20849421,"Brunner P, Cook PG, Simmons CT",2011,Jul-Aug,Disconnected surface water and groundwater: from theory to practice.,"Brunner P, Cook PG, Simmons CT.Disconnected surface water and groundwater: from theory to practice. Ground Water. 2011 Jul-Aug; 49(4):460-7. "
20864207,"Orban P, Brouyère S, Batlle-Aguilar J, Couturier J, Goderniaux P, Leroy M, Maloszewski P, Dassargues A",2010,Oct,Regional transport modelling for nitrate trend assessment and forecasting in a chalk aquifer.,"Orban P, Brouyère S, Batlle-Aguilar J, Couturier J, Goderniaux P, Leroy M, Maloszewski P, Dassargues A.Regional transport modelling for nitrate trend assessment and forecasting in a chalk aquifer. J Contam Hydrol. 2010 Oct 21; 118(1-2):79-93. "
20890746,"Garrido Frenich A, Romero-González R, Martínez Vidal JL, Martínez Ocaña R, Baquero Feria P",2011,Feb,Comparison of solid phase microextraction and hollow fiber liquid phase microextraction for the determination of pesticides in aqueous samples by gas chromatography triple quadrupole tandem mass spectrometry.,"Garrido Frenich A, Romero-González R, Martínez Vidal JL, Martínez Ocaña R, Baquero Feria P.Comparison of solid phase microextraction and hollow fiber liquid phase microextraction for the determination of pesticides in aqueous samples by gas chromatography triple quadrupole tandem mass spectrometry. Anal Bioanal Chem. 2011 Feb; 399(6):2043-59. "
21030108,"Hunkeler D, Abe Y, Broholm MM, Jeannottat S, Westergaard C, Jacobsen CS, Aravena R, Bjerg PL",2011,Jan,Assessing chlorinated ethene degradation in a large scale contaminant plume by dual carbon-chlorine isotope analysis and quantitative PCR.,"Hunkeler D, Abe Y, Broholm MM, Jeannottat S, Westergaard C, Jacobsen CS, Aravena R, Bjerg PL.Assessing chlorinated ethene degradation in a large scale contaminant plume by dual carbon-chlorine isotope analysis and quantitative PCR. J Contam Hydrol. 2011 Jan 25; 119(1-4):69-79. "
21056918,"Bouchard D, Cornaton F, Höhener P, Hunkeler D",2011,Jan,Analytical modelling of stable isotope fractionation of volatile organic compounds in the unsaturated zone.,"Bouchard D, Cornaton F, Höhener P, Hunkeler D.Analytical modelling of stable isotope fractionation of volatile organic compounds in the unsaturated zone. J Contam Hydrol. 2011 Jan 25; 119(1-4):44-54. "
21076220,"Dillon P, Toze S, Page D, Vanderzalm J, Bekele E, Sidhu J, Rinck-Pfeiffer S",2010,,Managed aquifer recharge: rediscovering nature as a leading edge technology.,"Dillon P, Toze S, Page D, Vanderzalm J, Bekele E, Sidhu J, Rinck-Pfeiffer S.Managed aquifer recharge: rediscovering nature as a leading edge technology. Water Sci Technol. 2010; 62(10):2338-45. "
21087249,"Lorenzen G, Sprenger C, Pekdeger A",2011,May-Jun,A simple method to hide data loggers safely in observation wells.,"Lorenzen G, Sprenger C, Pekdeger A.A simple method to hide data loggers safely in observation wells. Ground Water. 2011 May-Jun; 49(3):450-3. "
21112614,"Sprenger C, Lorenzen G, Hülshoff I, Grützmacher G, Ronghang M, Pekdeger A",2011,Jan,Vulnerability of bank filtration systems to climate change.,"Sprenger C, Lorenzen G, Hülshoff I, Grützmacher G, Ronghang M, Pekdeger A.Vulnerability of bank filtration systems to climate change. Sci Total Environ. 2011 Jan 15; 409(4):655-63. "
21114161,"Raju GS, Reddy YV, Babu KR",2009,Apr,"Hydrogeological aspects of Rajampet--a drought prone taluk, Kadapa district, Andhra Pradesh (India).","Raju GS, Reddy YV, Babu KR.Hydrogeological aspects of Rajampet--a drought prone taluk, Kadapa district, Andhra Pradesh (India). J Environ Sci Eng. 2009 Apr; 51(2):97-102. "
21136290,"Tajul Baharuddin MF, Taib S, Hashim R, Zainal Abidin MH, Ishak MF",2011,Sep,"Time-lapse resistivity investigation of salinity changes at an ex-promontory land: a case study of Carey Island, Selangor, Malaysia.","Tajul Baharuddin MF, Taib S, Hashim R, Zainal Abidin MH, Ishak MF.Time-lapse resistivity investigation of salinity changes at an ex-promontory land: a case study of Carey Island, Selangor, Malaysia. Environ Monit Assess. 2011 Sep; 180(1-4):345-69. "
21238751,"Ferrer C, Martínez-Bueno MJ, Lozano A, Fernández-Alba AR",2011,Feb,Pesticide residue analysis of fruit juices by LC-MS/MS direct injection. One year pilot survey.,"Ferrer C, Martínez-Bueno MJ, Lozano A, Fernández-Alba AR.Pesticide residue analysis of fruit juices by LC-MS/MS direct injection. One year pilot survey. Talanta. 2011 Feb 15; 83(5):1552-61. "
21238760,"Pareja L, Cesio V, Heinzen H, Fernández-Alba AR",2011,Feb,Evaluation of various QuEChERS based methods for the analysis of herbicides and other commonly used pesticides in polished rice by LC-MS/MS.,"Pareja L, Cesio V, Heinzen H, Fernández-Alba AR.Evaluation of various QuEChERS based methods for the analysis of herbicides and other commonly used pesticides in polished rice by LC-MS/MS. Talanta. 2011 Feb 15; 83(5):1613-22. "
21238766,"García MD, Pedrosa BP, Galera MM",2011,Feb,Column-switching linked to large sample volumes to preconcentrate β-blockers at trace levels in environmental water.,"García MD, Pedrosa BP, Galera MM.Column-switching linked to large sample volumes to preconcentrate β-blockers at trace levels in environmental water. Talanta. 2011 Feb 15; 83(5):1665-72. "
21286690,"Aguilera-Luiz MM, Plaza-Bolaños P, Romero-González R, Vidal JL, Frenich AG",2011,Mar,Comparison of the efficiency of different extraction methods for the simultaneous determination of mycotoxins and pesticides in milk samples by ultra high-performance liquid chromatography-tandem mass spectrometry.,"Aguilera-Luiz MM, Plaza-Bolaños P, Romero-González R, Vidal JL, Frenich AG.Comparison of the efficiency of different extraction methods for the simultaneous determination of mycotoxins and pesticides in milk samples by ultra high-performance liquid chromatography-tandem mass spectrometry. Anal Bioanal Chem. 2011 Mar; 399(8):2863-75. "
21306358,"Raymond J, Therrien R, Gosselin L, Lefebvre R",2011,Nov-Dec,A review of thermal response test analysis using pumping test concepts.,"Raymond J, Therrien R, Gosselin L, Lefebvre R.A review of thermal response test analysis using pumping test concepts. Ground Water. 2011 Nov-Dec; 49(6):932-45. "
21330001,"Leschik S, Bayer-Raich M, Musolff A, Schirmer M",2011,Jun,Towards optimal sampling schedules for integral pumping tests.,"Leschik S, Bayer-Raich M, Musolff A, Schirmer M.Towards optimal sampling schedules for integral pumping tests. J Contam Hydrol. 2011 Jun 1; 124(1-4):25-34. "
21333319,"Bueno MJ, Uclés S, Hernando MD, Dávoli E, Fernández-Alba AR",2011,Mar,Evaluation of selected ubiquitous contaminants in the aquatic environment and their transformation products. A pilot study of their removal from a sewage treatment plant.,"Bueno MJ, Uclés S, Hernando MD, Dávoli E, Fernández-Alba AR.Evaluation of selected ubiquitous contaminants in the aquatic environment and their transformation products. A pilot study of their removal from a sewage treatment plant. Water Res. 2011 Mar; 45(6):2331-41. "
21397903,"Pareja L, Martínez-Bueno MJ, Cesio V, Heinzen H, Fernández-Alba AR",2011,Jul,Trace analysis of pesticides in paddy field water by direct injection using liquid chromatography-quadrupole-linear ion trap-mass spectrometry.,"Pareja L, Martínez-Bueno MJ, Cesio V, Heinzen H, Fernández-Alba AR.Trace analysis of pesticides in paddy field water by direct injection using liquid chromatography-quadrupole-linear ion trap-mass spectrometry. J Chromatogr A. 2011 Jul 29; 1218(30):4790-8. "
21635247,"Zaltsberg E, Gogolev M",2011,Nov-Dec,V. Shestakov and the development of modern hydrogeology in Russia.,"Zaltsberg E, Gogolev M.V. Shestakov and the development of modern hydrogeology in Russia. Ground Water. 2011 Nov-Dec; 49(6):946-8. "
21645685,"Martínez Bueno MJ, Uclés S, Hernando MD, Fernández-Alba AR",2011,Jul,Development of a solvent-free method for the simultaneous identification/quantification of drugs of abuse and their metabolites in environmental water by LC-MS/MS.,"Martínez Bueno MJ, Uclés S, Hernando MD, Fernández-Alba AR.Development of a solvent-free method for the simultaneous identification/quantification of drugs of abuse and their metabolites in environmental water by LC-MS/MS. Talanta. 2011 Jul 15; 85(1):157-66. "
21741669,"Morasch B, Hunkeler D, Zopfi J, Temime B, Höhener P",2011,Oct,Intrinsic biodegradation potential of aromatic hydrocarbons in an alluvial aquifer--potentials and limits of signature metabolite analysis and two stable isotope-based techniques.,"Morasch B, Hunkeler D, Zopfi J, Temime B, Höhener P.Intrinsic biodegradation potential of aromatic hydrocarbons in an alluvial aquifer--potentials and limits of signature metabolite analysis and two stable isotope-based techniques. Water Res. 2011 Oct 1; 45(15):4459-69. "
21769558,"Zhou Z, Zhang G, Yan M, Wang J",2012,Jun,"Spatial variability of the shallow groundwater level and its chemistry characteristics in the low plain around the Bohai Sea, North China.","Zhou Z, Zhang G, Yan M, Wang J.Spatial variability of the shallow groundwater level and its chemistry characteristics in the low plain around the Bohai Sea, North China. Environ Monit Assess. 2012 Jun; 184(6):3697-710. "
21777991,"Molson JW, Frind EO",2012,Jan,"On the use of mean groundwater age, life expectancy and capture probability for defining aquifer vulnerability and time-of-travel zones for source water protection.","Molson JW, Frind EO.On the use of mean groundwater age, life expectancy and capture probability for defining aquifer vulnerability and time-of-travel zones for source water protection. J Contam Hydrol. 2012 Jan 1; 127(1-4):76-87. "
21790201,"Dahm KG, Guerra KL, Xu P, Drewes JE",2011,Sep,Composite geochemical database for coalbed methane produced water quality in the Rocky Mountain region.,"Dahm KG, Guerra KL, Xu P, Drewes JE.Composite geochemical database for coalbed methane produced water quality in the Rocky Mountain region. Environ Sci Technol. 2011 Sep 15; 45(18):7655-63. "
21797852,"Anderson MP, McCray J",2011,Sep-Oct,Foreword: lessons learned about contaminant hydrogeology from legacy research sites.,"Anderson MP, McCray J.Foreword: lessons learned about contaminant hydrogeology from legacy research sites. Ground Water. 2011 Sep-Oct; 49(5):617-9. "
21820661,"Ferrer C, Lozano A, Agüera A, Girón AJ, Fernández-Alba AR",2011,Oct,Overcoming matrix effects using the dilution approach in multiresidue methods for fruits and vegetables.,"Ferrer C, Lozano A, Agüera A, Girón AJ, Fernández-Alba AR.Overcoming matrix effects using the dilution approach in multiresidue methods for fruits and vegetables. J Chromatogr A. 2011 Oct 21; 1218(42):7634-9. "
21822928,"Pérez-Parada A, Gómez-Ramos Mdel M, Martínez Bueno MJ, Uclés S, Uclés A, Fernández-Alba AR",2012,Feb,"Analytical improvements of hybrid LC-MS/MS techniques for the efficient evaluation of emerging contaminants in river waters: a case study of the Henares River (Madrid, Spain).","Pérez-Parada A, Gómez-Ramos Mdel M, Martínez Bueno MJ, Uclés S, Uclés A, Fernández-Alba AR.Analytical improvements of hybrid LC-MS/MS techniques for the efficient evaluation of emerging contaminants in river waters: a case study of the Henares River (Madrid, Spain). Environ Sci Pollut Res Int. 2012 Feb; 19(2):467-81. "
21870853,"Hunkeler D, Aravena R, Shouakar-Stash O, Weisbrod N, Nasser A, Netzer L, Ronen D",2011,Oct,Carbon and chlorine isotope ratios of chlorinated ethenes migrating through a thick unsaturated zone of a sandy aquifer.,"Hunkeler D, Aravena R, Shouakar-Stash O, Weisbrod N, Nasser A, Netzer L, Ronen D.Carbon and chlorine isotope ratios of chlorinated ethenes migrating through a thick unsaturated zone of a sandy aquifer. Environ Sci Technol. 2011 Oct 1; 45(19):8247-53. "
21883189,"Preisig G, Joel Cornaton F, Perrochet P",2012,May-Jun,Regional flow simulation in fractured aquifers using stress-dependent parameters.,"Preisig G, Joel Cornaton F, Perrochet P.Regional flow simulation in fractured aquifers using stress-dependent parameters. Ground Water. 2012 May-Jun; 50(3):376-85. "
